p_recall,timestamp,delta,user_id,learning_language,ui_language,lexeme_id,lexeme_string,history_seen,history_correct,session_seen,session_correct
1.0,1362082274,1634777,u:dDwF,es,en,c84476c460737d9fb905dca3d35ec995,niños/niño<n><m><pl>,9,8,2,2
1.0,1362082274,1708699,u:dDwF,es,en,1a913f2ded424985b9c02d0436008511,leo/leer<vblex><pri><p1><sg>,7,5,2,2
1.0,1362082274,1708699,u:dDwF,es,en,38b770e66595fea718366523b4f7db3f,libro/libro<n><m><sg>,8,8,4,4
1.0,1362082274,444649,u:dDwF,es,en,4bdb859f599fa07dd5eecdab0acc2d34,a/a<pr>,3,3,1,1
1.0,1362082274,678813,u:dDwF,es,en,faa6fd18132b358958e440322ee82b4b,lee/leer<vblex><pri><p3><sg>,9,9,1,1
1.0,1362082274,781431,u:dDwF,es,en,41ba24ffb11fd09f5fc715d39cc6c1ea,qué/qué<prn><itg><m><sg>,3,3,2,2
1.0,1362082274,678813,u:dDwF,es,en,64f2b1bdc5c91bb3f6ca1bb7a808b60a,quieres/querer<vblex><pri><p2><sg>,3,3,1,1
1.0,1362082274,8562343,u:dDwF,es,en,22e3fc5f089cf47dae927dfddcce2844,ellos/prpers<prn><tn><p3><m><pl>,3,3,3,3
1.0,1362082274,4322943,u:dDwF,es,en,605a1c36da2cf22706eaad95b0b7eeee,niño/niño<n><m><sg>,19,18,1,1
1.0,1362082274,8562343,u:dDwF,es,en,66017329a8be498caedf5d4e36606225,escribimos/escribir<vblex><pri><p1><pl>,3,3,4,4
1.0,1362082274,8562343,u:dDwF,es,en,edf5a0ef6c836c4df4f3b3de76ca63ba,diario/diario<n><m><sg>,3,3,3,3
1.0,1362082274,4322943,u:dDwF,es,en,84e18e86c58e8e61d687dfa06b3aaa36,soy/ser<vbser><pri><p1><sg>,14,14,1,1
1.0,1362082274,8562343,u:dDwF,es,en,aaa5edb86012a89ad96f0fe29b952ee7,ellas/prpers<prn><tn><p3><f><pl>,3,3,1,1
1.0,1362082274,8562343,u:dDwF,es,en,ddba444a359006164704196b39c87a1b,carta/carta<n><f><sg>,3,3,2,2
1.0,1362082274,8562343,u:dDwF,es,en,fda174b61b0ed5e2eaa6deceae37f56b,son/ser<vbser><pri><p3><pl>,3,3,2,2
1.0,1362082274,8562343,u:dDwF,es,en,0939af7a5aa69adc2ff42bcecfa2f545,lees/leer<vblex><pri><p2><sg>,3,3,3,3
1.0,1362082274,6547702,u:dDwF,es,en,4e2d55b6054492c18e7c6090bf577d6d,tortuga/tortuga<n><f><sg>,6,4,2,2
1.0,1362082274,6643842,u:dDwF,es,en,54ed4cf41cbbae2ce97ddda174b5be84,es/ser<vbser><pri><p3><sg>,17,17,1,1
1.0,1362082274,678813,u:dDwF,es,en,c7dbbcd7ff5d0c7a291175e42cef70c5,tocas/tocar<vblex><pri><p2><sg>,3,3,1,1
1.0,1362082274,6645723,u:dDwF,es,en,72ac32e511cb2ddda42c564cc97276ef,cena/cena<n><f><sg>,6,4,1,1
1.0,1362082274,678525,u:dDwF,es,en,4a053e65555d1325c3ff3e618239606e,y/y<cnjcoo>,6,3,2,2
1.0,1362082274,6645723,u:dDwF,es,en,c2c8a202a12411858f87d4dcef5b2998,no/no<adv>,5,5,1,1
1.0,1362082274,6645723,u:dDwF,es,en,cfd0209136e56af5674beb77f8d26755,jugo/jugo<n><m><sg>,4,4,1,1
1.0,1362082274,7239420,u:dDwF,es,en,25a5cb63448fad016a8eb4e3578ec3d4,pollo/pollo<n><m><sg>,4,3,1,1
1.0,1362082274,8562343,u:dDwF,es,en,f423850a19d3a8b7f7c206c2a9dfa733,persona/persona<n><f><sg>,3,3,3,3
1.0,1362082274,444649,u:dDwF,es,en,99cd0848be9239250ffd99e11add7338,de/de<pr>,3,3,1,1
1.0,1362082274,444649,u:dDwF,es,en,e0c4847185936c50b09b1c9b97cefa84,por/por<pr>,3,3,1,1
1.0,1362082274,678813,u:dDwF,es,en,cea25080ac57e5c12f7e0676f70a54df,escribe/escribir<vblex><pri><p3><sg>,8,8,1,1
1.0,1362082274,1708699,u:dDwF,es,en,3c317e367d8d299c237e618dd5dde5da,vino/vino<n><m><sg>,7,6,1,1
1.0,1362082274,6547702,u:dDwF,es,en,e0c59af9edfe94325252afb2525b4c93,beben/beber<vblex><pri><p3><pl>,8,8,1,1
1.0,1362082274,7239420,u:dDwF,es,en,81fe07635e2aa79cd36709cf1bdd81be,limón/limón<n><m><sg>,3,2,2,2
0.0,1362082297,253,u:FO,de,en,76390c1350a8dac31186187e2fe1e178,lernt/lernen<vblex><pri><p3><sg>,14,12,1,0
0.0,1362082297,253,u:FO,de,en,7dfd7086f3671685e2cf1c1da72796d7,die/die<det><def><f><sg><nom>,10,8,1,0
1.0,1362082297,6135,u:FO,de,en,dd34978165d17f7e729a2ef331a7600d,er/er<prn><p3><m><sg><nom>,1,1,1,1
1.0,1362082297,6135,u:FO,de,en,495f763ef6027e020c53431484aa5ede,isst/essen<vblex><pri><p3><sg>,1,1,1,1
0.0,1362082297,253,u:FO,de,en,0cf63ffe3dda158bc3dbd55682b355ae,frau/frau<n><f><sg><nom>,13,10,1,0
0.0,1362082297,6135,u:FO,de,en,46b112cd07fdcc98db8670a5d71c613d,sie/sie<prn><p3><f><sg><nom>,1,1,1,0
1.0,1362082362,65,u:FO,de,en,76390c1350a8dac31186187e2fe1e178,lernt/lernen<vblex><pri><p3><sg>,15,12,1,1
1.0,1362082362,65,u:FO,de,en,dd34978165d17f7e729a2ef331a7600d,er/er<prn><p3><m><sg><nom>,2,2,1,1
0.5,1362082389,27,u:FO,de,en,76390c1350a8dac31186187e2fe1e178,lernt/lernen<vblex><pri><p3><sg>,16,13,2,1
1.0,1362082389,345,u:FO,de,en,1bacf218eaaf9f944e525f7be9b31899,kind/kind<n><nt><sg><nom>,8,8,1,1
0.0,1362082389,195,u:FO,de,en,35a54c25a2cda8127343f6a82e6f6b7d,mann/mann<n><m><sg><nom>,16,14,1,0
0.0,1362082389,345,u:FO,de,en,56429751fdaedb6e491f4795c770f5a4,der/der<det><def><m><sg><nom>,10,9,1,0
1.0,1362082389,195,u:FO,de,en,84920990d78044db53c1b012f5bf9ab5,das/das<det><def><nt><sg><nom>,11,9,1,1
1.0,1362082493,1469,u:g3WM,pt,en,57408f89412af98111a2f87c0ab41b22,tu/tu<prn><tn><p2><mf><sg>,48,48,1,1
0.5,1362082493,1469,u:g3WM,pt,en,8414835cb39e4315146a59fefdd6d1c6,tem/ter<vblex><pri><p3><sg>,2,2,2,1
1.0,1362082493,1469,u:g3WM,pt,en,ecc3feb8e53ce936cef181dd54e7aaca,temos/ter<vblex><pri><p1><pl>,1,1,1,1
1.0,1362082493,2184,u:g3WM,pt,en,8d28ba0fa188f1847571467189846dda,tua/teu<det><pos><f><sg>,4,3,1,1
1.0,1362082493,1469,u:g3WM,pt,en,4b3613233b3fede2e3e92ac2ef752bf6,leão/leão<n><m><sg>,9,8,1,1
0.0,1362082493,1469,u:g3WM,pt,en,2e327d99285380dc37273580705b9f85,vermelhas/vermelho<adj><f><pl>,1,1,1,0
1.0,1362082493,155097,u:g3WM,pt,en,213ad43df9831b7b21ca1d7d79f5d107,a/o<det><def><f><sg>,33,33,1,1
1.0,1362082493,1469,u:g3WM,pt,en,41db134d8af1c0610b0d926d8a53d01a,nossas/nosso<det><pos><f><pl>,6,5,1,1
0.0,1362082493,1190625,u:g3WM,pt,en,6e820e73c9936c1c90e20a174f3dd1ad,<*sf>/traje<n><m><*numb>,2,2,1,0
1.0,1362082493,1469,u:g3WM,pt,en,38ec3b04540c300424b556dee6e5dbe5,<*sf>/chapéu<n><m><*numb>,3,3,1,1
1.0,1362082493,1469,u:g3WM,pt,en,6e39fa977508d7c2e5990cfddc80b2f7,<*sf>/fantasia<n><f><*numb>,4,4,1,1
1.0,1362082493,1469,u:g3WM,pt,en,b70b44f07b89cc7c5ac2626029a8952a,<*sf>/sapato<n><m><*numb>,2,2,1,1
1.0,1362082493,1469,u:g3WM,pt,en,5377c84560aaf45988067be11302d1d8,<*sf>/agasalho<n><m><*numb>,3,3,1,1
1.0,1362082493,1469,u:g3WM,pt,en,9efffbcb52dac1660ecdbf050ec6dfc6,<*sf>/camisa<n><f><*numb>,3,3,1,1
0.0,1362082493,1191241,u:g3WM,pt,en,540d7477d35047a1282a4075b9fbbc6e,<*sf>/vestir<vblex><pri><*pers><*numb>,3,3,1,0
0.0,1362082493,1190625,u:g3WM,pt,en,3bd5d714e2fd898a573a4d1ae48b2791,<*sf>/relógio<n><m><*numb>,2,1,1,0
1.0,1362082493,1469,u:g3WM,pt,en,5f3b7836361ebde92d6be000e1a5edf7,<*sf>/média<n><f><*numb>,3,2,1,1
1.0,1362082493,1469,u:g3WM,pt,en,c51c3de41e1738fef6233bae874f327b,<*sf>/vestido<n><m><*numb>,2,2,1,1
1.0,1362082493,1469,u:g3WM,pt,en,eca9cad5e0a5d96f5db19271e2e3e122,<*sf>/sandália<n><f><*numb>,3,3,1,1
1.0,1362082493,1469,u:g3WM,pt,en,1fc183ee42e2f440f7ca318fc6c46e63,<*sf>/saia<n><f><*numb>,2,2,1,1
1.0,1362082493,1191579,u:g3WM,pt,en,3a898602c268f23d8acbeadacc9138be,<*sf>/roupa<n><f><*numb>,1,1,1,1
1.0,1362082493,1469,u:g3WM,pt,en,ea04a57b119113b097e3f4e1d4b8b7c1,<*sf>/pele<n><f><*numb>,3,1,1,1
1.0,1362082493,1191241,u:g3WM,pt,en,5ed55ec92cea6a460d958312209ea9f2,<*sf>/blusa<n><f><*numb>,3,3,1,1
1.0,1362082504,357,u:dwbJ,en,pt,1052c3ace653dbc8923eaa183bc02b88,definition/definition<n><sg>,17,17,2,2
1.0,1362082504,357,u:dwbJ,en,pt,9cba1b30f88bf3c047b22cffcaf88c12,surface/surface<n><sg>,19,19,3,3
1.0,1362082504,357,u:dwbJ,en,pt,961cd149f20f2571419b1412d849f19a,scale/scale<n><sg>,21,20,3,3
0.8,1362082504,357,u:dwbJ,en,pt,5cbb1249562e95794a4c4ae0e2d8ae26,temperature/temperature<n><sg>,44,36,5,4
1.0,1362082504,357,u:dwbJ,en,pt,2df65bdf80d10d2b78d62cb2e0a731d8,distance/distance<n><sg>,21,20,3,3
1.0,1362082504,357,u:dwbJ,en,pt,97ed837d0ec43fc8fbbb00c6897342c6,publication/publication<n><sg>,19,18,2,2
1.0,1362082504,357,u:dwbJ,en,pt,525be716d73f73f66a7c4832478bbb9d,theory/theory<n><sg>,16,15,2,2
1.0,1362082511,442381,u:fxGh,es,en,0660d40368cf835a1182a844b9bcd9ca,corro/correr<vblex><pri><p1><sg>,5,5,1,1
0.666666666667,1362082511,228208,u:fxGh,es,en,7e416735d7d43c3c0fc30d10801a352d,si/si<cnjadv>,3,3,3,2
1.0,1362082511,64651,u:fxGh,es,en,69faeef930a44421ec22be4b06474a06,aunque/aunque<cnjadv>,4,4,1,1
1.0,1362082511,64651,u:fxGh,es,en,8a100871aa249eeef95c20f864b281a1,mientras/mientras<cnjadv>,4,4,1,1
1.0,1362082511,442104,u:fxGh,es,en,a764900ace90aa45b2466e3cb031072e,caminas/caminar<vblex><pri><p2><sg>,6,5,1,1
1.0,1362082511,442233,u:fxGh,es,en,86584daef5933b284384453795bbf0ed,hombre/hombre<n><m><sg>,22,20,2,2
1.0,1362082511,442233,u:fxGh,es,en,751cef71758f92e031ad696122464d2f,gatos/gato<n><m><pl>,8,8,1,1
1.0,1362082511,3636801,u:fxGh,es,en,2a94c2ba4da5dfbdb5d23703e11646fe,caballos/caballo<n><m><pl>,6,6,1,1
1.0,1362082511,228208,u:fxGh,es,en,eefcfa6ea9488db6f51be5b2f8490ff9,porque/porque<cnjadv>,2,1,2,2
1.0,1362082511,64250,u:fxGh,es,en,a52bc2771bde31d4d5e80bd29f350714,manzana/manzana<n><f><sg>,10,10,1,1
0.0,1362082511,228208,u:fxGh,es,en,eed918b5fa01b82c8133bfc2183991fe,ni/ni<cnjcoo>,3,2,1,0
1.0,1362082511,64250,u:fxGh,es,en,84e18e86c58e8e61d687dfa06b3aaa36,soy/ser<vbser><pri><p1><sg>,31,30,2,2
1.0,1362082511,442381,u:fxGh,es,en,7ca59979d0c746c63d39ab85db3ef306,hablo/hablar<vblex><pri><p1><sg>,5,5,1,1
1.0,1362082511,228208,u:fxGh,es,en,ad2c56f95c8646373906ccb638c5aa8a,que/que<cnjsub>,1,1,1,1
1.0,1362082511,360192,u:fxGh,es,en,54ed4cf41cbbae2ce97ddda174b5be84,es/ser<vbser><pri><p3><sg>,19,19,1,1
1.0,1362082511,3638173,u:fxGh,es,en,767fce885fae7a70ef9eab520d78f1bb,una/uno<det><ind><f><sg>,21,20,1,1
1.0,1362082511,4824851,u:fxGh,es,en,389d16a7713404bf18de999b57a54eae,pan/pan<n><m><sg>,7,7,1,1
1.0,1362082511,64250,u:fxGh,es,en,4a053e65555d1325c3ff3e618239606e,y/y<cnjcoo>,8,8,5,5
1.0,1362082511,884892,u:fxGh,es,en,c2c8a202a12411858f87d4dcef5b2998,no/no<adv>,21,21,2,2
0.0,1362082511,64651,u:fxGh,es,en,dda027f2a23ac4b34effe710858ff724,cuando/cuando<cnjadv>,4,4,1,0
1.0,1362082511,442104,u:fxGh,es,en,bbb6ae42278769195a93b4458abc77a1,camina/caminar<vblex><pri><p3><sg>,9,9,1,1
1.0,1362082511,3636801,u:fxGh,es,en,2199c2e34a246811ededdd765f1933ce,animales/animal<n><m><pl>,6,6,1,1
1.0,1362082511,360192,u:fxGh,es,en,e8578c557b3989f9efbc424f9430091d,come/comer<vblex><pri><p3><sg>,32,31,1,1
1.0,1362082511,64250,u:fxGh,es,en,6b4ac7ed7cae8cd551c71d1a5b0aedc4,cocino/cocinar<vblex><pri><p1><sg>,7,6,1,1
1.0,1362082511,442381,u:fxGh,es,en,efb4aff15b32a7b5253e29f02cc85dd8,puedo/poder<vbmod><pri><p1><sg>,6,6,1,1
1.0,1362082511,442381,u:fxGh,es,en,6466c217460079d74e1f098116fff664,quiero/querer<vblex><pri><p1><sg>,7,7,1,1
1.0,1362082511,64651,u:fxGh,es,en,ee3858c524ceab47bc102716a9640aa0,sino/sino<cnjcoo>,3,2,2,2
1.0,1362082511,228208,u:fxGh,es,en,16b4f0acd409db1e81e9eab37d807c85,o/o<cnjcoo>,2,2,1,1
1.0,1362082511,228208,u:fxGh,es,en,548ab26427d176ad6a88862d7d83eaa8,pero/pero<cnjcoo>,2,1,2,2
1.0,1362082511,442104,u:fxGh,es,en,1db792cce1abf1095ae81b27666cb996,camino/caminar<vblex><pri><p1><sg>,6,6,2,2
1.0,1362082511,4824851,u:fxGh,es,en,e5a09ea1bd469575ed000382d5cee176,mujer/mujer<n><f><sg>,22,21,2,2
1.0,1362082511,3636951,u:fxGh,es,en,751870fa2768a6ee46e433d2b2852ce8,perros/perro<n><m><pl>,6,6,1,1
1.0,1362082511,3114146,u:fxGh,es,en,593cf703acd34bfc58184c2a96ff5e2a,como/comer<vblex><pri><p1><sg>,8,8,2,2
1.0,1362082511,442233,u:fxGh,es,en,3eac20b27bd396544a750adf280b4c51,corre/correr<vblex><pri><p3><sg>,7,7,1,1
1.0,1362082519,3888560,u:fsOi,en,es,e12e176302bb7055e90f0b421e1e5f92,thank/thank<vblex><pres>,5,5,4,4
0.5,1362082521,1766926,u:hl1O,de,en,66fcf7e59efa7186ce4aba2bbab845e4,hähnchensandwich/hähnchen<n>,1,1,2,1
0.0,1362082521,1766926,u:hl1O,de,en,27a74da404d7e915dc752c5ea8936ec3,essen/essen<n><nt><sg><nom>,1,1,1,0
1.0,1362082521,1766926,u:hl1O,de,en,efdfe0afafd836277e47c3713bb84d18,tassen/tasse<n><f><pl><nom>,2,2,3,3
1.0,1362082521,1766926,u:hl1O,de,en,a58c618617e9d8a574e44ea5f24f738d,orange/orange<n><f><sg><*case>,3,2,2,2
1.0,1362082521,1766926,u:hl1O,de,en,ef40e640cc9599341392b66d6b890c27,getränke/getränk<n><nt><pl><*case>,2,2,3,3
1.0,1362082521,1766926,u:hl1O,de,en,840f9b94aca547b7487ec01c2d14348c,ei/ei<n><nt><sg><*case>,3,2,2,2
0.666666666667,1362082521,1766926,u:hl1O,de,en,3fb0c6ae83598ec3e6817e2e236e3b9b,nudeln/nudel<n><f><pl><*case>,2,2,3,2
1.0,1362082525,610672,u:hX-p,en,it,390ca9c2868c14c5616c460e4f31762c,women/woman<n><pl>,36,36,3,3
1.0,1362082525,271,u:hX-p,en,it,b968b069e4e2c04848e9f8924e34c031,we/prpers<prn><subj><p1><mf><pl>,76,67,4,4
1.0,1362082525,92504,u:hX-p,en,it,efc2c65bd3a2ab7e0e2d4db65e290699,read/read<vblex><pres>,61,54,6,6
0.75,1362082525,5265,u:hX-p,en,it,e16c578226476ae646530b6356f9b0ad,newspaper/newspaper<n><sg>,42,39,4,3
1.0,1362082525,92504,u:hX-p,en,it,b573a2ebb834b1346202143003738756,girls/girl<n><pl>,28,22,2,2
1.0,1362082525,6185,u:hX-p,en,it,6467457ef675ada64c360e7d17642aaf,men/man<n><pl>,59,54,2,2
0.5,1362082525,94019,u:hX-p,en,it,e296b8e7737593b36ec7583275c790fe,boys/boy<n><pl>,45,38,2,1
1.0,1362082527,179,u:h5ex,de,en,76390c1350a8dac31186187e2fe1e178,lernt/lernen<vblex><pri><p3><sg>,15,15,2,2
1.0,1362082527,179,u:h5ex,de,en,7dfd7086f3671685e2cf1c1da72796d7,die/die<det><def><f><sg><nom>,19,19,2,2
1.0,1362082527,179,u:h5ex,de,en,26a4633147e001fe303af2f475221771,freundin/freundin<n><f><sg><nom>,4,4,4,4
1.0,1362082527,179,u:h5ex,de,en,0df6636b1f13df9a9de7cebeadd4b074,koch/koch<n><m><sg><nom>,2,2,2,2
1.0,1362082527,179,u:h5ex,de,en,fe39a7ce23741e0e4232d40f1c22d446,professor/professor<n><m><sg><nom>,6,5,2,2
1.0,1362082527,179,u:h5ex,de,en,1f590670a5d0caf52e33afed1ab566eb,freund/freund<n><m><sg><acc>,5,4,3,3
1.0,1362082527,179,u:h5ex,de,en,a8f2e402075e0670edf17d20c1329fa9,zucker/zucker<n><m><sg><dat>,2,1,1,1
1.0,1362082527,179,u:h5ex,de,en,9e1f56b08922d1d9f7ab663b58d88367,freundin/freundin<n><f><sg><acc>,4,4,2,2
1.0,1362082527,179,u:h5ex,de,en,6706a43c553cef09c1661c22cc0824b2,könig/könig<n><m><sg><nom>,4,4,2,2
1.0,1362082527,179,u:h5ex,de,en,1bacf218eaaf9f944e525f7be9b31899,kind/kind<n><nt><sg><nom>,13,12,1,1
1.0,1362082527,179,u:h5ex,de,en,b788f6341ae71b9e2b8132609644b175,richter/richter<n><m><sg><nom>,6,6,2,2
1.0,1362082527,179,u:h5ex,de,en,0d93658bdfb55955c325f1cf40cd9b1a,freund/freund<n><m><sg><nom>,5,4,3,3
1.0,1362082532,287,u:h8nj,en,es,678bfa5d0ccd050c12395a792abaff12,i/prpers<prn><subj><p1><mf><sg>,40,37,2,2
1.0,1362082532,287,u:h8nj,en,es,d5efc552aaea3109eb5388aa1ec8673d,the/the<det><def><sp>,87,80,1,1
1.0,1362082532,287,u:h8nj,en,es,aa94db3b587c7027e8505c25f6fc8ed9,apple/apple<n><sg>,79,70,2,2
1.0,1362082532,287,u:h8nj,en,es,b974624f112084b39586380fe4aaf32a,man/man<n><sg>,64,56,3,3
1.0,1362082532,287,u:h8nj,en,es,16f2acaffe30cb9a81f422674d398df4,he/prpers<prn><subj><p3><m><sg>,24,21,2,2
1.0,1362082532,287,u:h8nj,en,es,a826c47947d68549fa81e19cafa57ba0,eat/eat<vblex><pres>,56,49,3,3
1.0,1362082532,287,u:h8nj,en,es,5e29d77697d23070a1fb92eb6c90e9b6,bread/bread<n><sg>,60,53,3,3
1.0,1362082532,287,u:h8nj,en,es,e296b8e7737593b36ec7583275c790fe,boys/boy<n><pl>,12,12,1,1
1.0,1362082532,287,u:h8nj,en,es,547bb1812414cec172b0afef5ca93fce,girl/girl<n><sg>,60,53,1,1
1.0,1362082532,287,u:h8nj,en,es,97e922f780d628eac638bea7a02bf496,is/be<vbser><pri><p3><sg>,95,82,4,4
1.0,1362082532,287,u:h8nj,en,es,80765ae2a08ba6812a4ab9df607b97d2,am/be<vbser><pri><p1><sg>,70,62,3,3
1.0,1362082532,287,u:h8nj,en,es,01669d9689c5cf2ec04c58a893f02ab6,drinks/drink<vblex><pri><p3><sg>,57,56,2,2
1.0,1362082532,287,u:h8nj,en,es,0b92ea6f088f642e9aaa8c2acc7d7b0a,boy/boy<n><sg>,66,56,3,3
1.0,1362082532,287,u:h8nj,en,es,c52ab45d4e22ee7580041911159e3c0c,water/water<n><sg>,75,66,3,3
0.666666666667,1362082532,287,u:h8nj,en,es,0d9244f805fd55af1281a1bcb1a2cba6,and/and<cnjcoo>,65,55,3,2
1.0,1362082532,287,u:h8nj,en,es,928787744a962cd4ec55c1b22cedc913,eats/eat<vblex><pri><p3><sg>,58,53,2,2
1.0,1362082532,287,u:h8nj,en,es,cdfecc9247566d40bb964a218c54c783,drink/drink<vblex><pres>,42,37,2,2
1.0,1362082532,287,u:h8nj,en,es,375662ec82debfdebd8215b147848cc7,woman/woman<n><sg>,78,74,3,3
1.0,1362082532,287,u:h8nj,en,es,65e39bd07057893f74d8db10b367f7aa,she/prpers<prn><subj><p3><f><sg>,61,54,2,2
1.0,1362082532,287,u:h8nj,en,es,142ad0f32d08728de0f9955df5b83f32,an/a<det><ind><sg>,83,74,2,2
1.0,1362082532,287,u:h8nj,en,es,b968b069e4e2c04848e9f8924e34c031,we/prpers<prn><subj><p1><mf><pl>,8,8,1,1
1.0,1362082532,287,u:h8nj,en,es,827a8ecb89f9b59ac5c29b620a5d3ed6,a/a<det><ind><sg>,125,109,6,6
1.0,1362082532,287,u:h8nj,en,es,c7cdabd85f63506807f8d856897a2089,it/prpers<prn><subj><p3><nt><sg>,30,24,1,1
1.0,1362082533,1036,u:ezFh,es,en,2ed27542f3fc96912c04111bc39d3059,oí/oír<vblex><ifi><p1><sg>,11,11,1,1
1.0,1362082533,1394,u:ezFh,es,en,cdc8cc7a9c566a15b73bd04873b3c9b5,amigos/amigo<n><m><pl>,1,1,2,2
1.0,1362082533,83772,u:ezFh,es,en,c141741327b895fbaa0887e8b572b1ab,martes/martes<n><m><sp>,18,18,1,1
1.0,1362082533,443,u:ezFh,es,en,3a16f1c92fc57b2bfe42504ba4d55820,aseguró/asegurar<vblex><ifi><p3><sg>,10,9,1,1
1.0,1362082533,889,u:ezFh,es,en,2263cc6b4150b52b5c419083b5cd3aa5,restaurante/restaurante<n><m><sg>,64,55,1,1
1.0,1362082533,1560,u:ezFh,es,en,0148a2e0daccb5137132935917526040,logró/lograr<vblex><ifi><p3><sg>,8,7,1,1
1.0,1362082533,82577,u:ezFh,es,en,95a20c90ee7f92de479d108ff94e81d3,noche/noche<n><f><sg>,45,39,1,1
1.0,1362082533,83772,u:ezFh,es,en,91b24619f468ef93697123dfb6926a3f,volvió/volver<vblex><ifi><p3><sg>,6,6,1,1
1.0,1362082533,1036,u:ezFh,es,en,38b770e66595fea718366523b4f7db3f,libro/libro<n><m><sg>,179,163,1,1
1.0,1362082533,889,u:ezFh,es,en,4bdb859f599fa07dd5eecdab0acc2d34,a/a<pr>,261,229,1,1
1.0,1362082533,889,u:ezFh,es,en,41ba24ffb11fd09f5fc715d39cc6c1ea,qué/qué<prn><itg><m><sg>,243,217,1,1
1.0,1362082533,889,u:ezFh,es,en,ccc028f8c339d16531307ec1bc426f06,coche/coche<n><m><sg>,1,1,1,1
1.0,1362082533,889,u:ezFh,es,en,8c4cdd9a35ee33abb21ca246929d71eb,habló/hablar<vblex><ifi><p3><sg>,21,19,1,1
1.0,1362082533,1036,u:ezFh,es,en,fe5f98df899d5d233240fffa99ee12fa,con/con<pr>,234,209,1,1
1.0,1362082533,1394,u:ezFh,es,en,e97b8c34c52d28d4e5ffeebe03f6a2f9,dejó/dejar<vblex><ifi><p3><sg>,7,7,1,1
1.0,1362082533,82941,u:ezFh,es,en,341c91dfabbda45c7323930090c25d52,almuerzo/almuerzo<n><m><sg>,46,44,1,1
1.0,1362082533,443,u:ezFh,es,en,17a8578f66b4b158e78af6bbbbbe73a0,hicieron/hacer<vblex><ifi><p3><pl>,13,13,1,1
1.0,1362082533,240459,u:ezFh,es,en,8eec7a2d53c083e7657ad6d2083e0ad8,campana/campana<n><f><sg>,9,8,1,1
1.0,1362082533,889,u:ezFh,es,en,b22f1af398ec03fa2b19a7c7fb277a74,televisión/televisión<n><f><sg>,29,26,1,1
1.0,1362082533,1394,u:ezFh,es,en,9353386b0c4e64accaac7bc00f86959d,mis/mío<det><pos><mf><pl>,236,208,2,2
